seed;algname;m;instance;n;nevals;millis;sol_set;fit_set;n_local_optima
23;MS-MA-EDM;15;exiobase/rxr/rxr_2009_n49;49;51273600;966;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 20 15 8 37 32 34 47 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 20 15 8 37 32 34 47 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 47 20 15 8 38 37 32 35 31 34 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7;353109,353109,353102,353102,353086,353086,353067,353067,353060,353060,353044,353044,353035,353035,353031;20000
24;MS-MA-EDM;15;exiobase/rxr/rxr_2009_n49;49;51301824;968;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 20 15 8 37 32 34 47 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 20 15 8 37 32 34 47 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 47 20 15 8 38 37 32 35 31 34 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086,353086,353067,353067,353060,353060,353044,353044,353035,353035,353031;20000
25;MS-MA-EDM;15;exiobase/rxr/rxr_2009_n49;49;51188928;967;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 20 15 8 37 32 34 47 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 20 15 8 37 32 34 47 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 47 20 15 8 38 37 32 35 31 34 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 47 20 15 8 38 37 32 35 31 34 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086,353086,353067,353067,353060,353044,353044,353035,353035,353031,353031;20000
26;MS-MA-EDM;15;exiobase/rxr/rxr_2009_n49;49;51205392;965;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 20 15 8 37 32 34 47 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 20 15 8 37 32 34 47 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 47 20 15 8 38 37 32 35 31 34 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086,353086,353067,353067,353060,353060,353044,353044,353035,353035,353031;20000
27;MS-MA-EDM;15;exiobase/rxr/rxr_2009_n49;49;51337104;969;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 20 15 8 37 32 34 47 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 20 15 8 37 32 34 47 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 47 20 15 8 38 37 32 35 31 34 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7;353109,353109,353102,353102,353086,353086,353067,353067,353060,353060,353044,353044,353035,353035,353031;20000
28;MS-MA-EDM;15;exiobase/rxr/rxr_2009_n49;49;51156000;962;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 20 15 8 37 32 34 47 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 20 15 8 37 32 34 47 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 47 20 15 8 38 37 32 35 31 34 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7;353109,353109,353102,353102,353086,353086,353067,353067,353060,353060,353044,353044,353035,353035,353031;20000
29;MS-MA-EDM;15;exiobase/rxr/rxr_2009_n49;49;51200688;968;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 20 15 8 37 32 34 47 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 20 15 8 37 32 34 47 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 47 20 15 8 38 37 32 35 31 34 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086,353086,353067,353067,353060,353060,353044,353044,353035,353035,353031;20000
30;MS-MA-EDM;15;exiobase/rxr/rxr_2009_n49;49;51087792;963;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 22 11 6 9 17 46 43 26 13 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 20 15 8 37 32 34 47 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 20 15 8 37 32 34 47 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 47 20 15 8 38 37 32 35 31 34 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 45 47 20 15 8 38 37 32 35 31 34 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7;353109,353109,353102,353102,353086,353086,353067,353067,353060,353044,353044,353035,353035,353031,353031;20000
1;MS-MA-EDM;5;exiobase/rxr/rxr_2013_n49;49;50960784;959;28 30 5 27 36 48 29 44 10 47 31 15 37 33 32 35 45 34 20 8 38 40 42 39 24 41 1 21 0 14 11 46 43 22 6 4 9 17 26 13 23 12 19 2 25 16 18 7 3,28 30 5 27 36 48 29 44 10 47 31 15 37 33 32 35 45 34 20 8 38 40 39 24 41 1 21 0 14 43 42 22 11 6 9 17 46 4 26 13 23 12 19 2 25 16 18 7 3,28 30 5 27 36 48 29 44 15 10 31 37 32 35 45 34 47 33 20 8 38 40 42 39 24 41 1 21 0 14 11 46 43 22 6 4 9 17 26 13 23 12 19 2 25 16 18 7 3,28 30 5 27 36 48 29 44 15 10 31 37 32 35 45 34 47 33 20 8 38 40 39 24 41 1 21 0 14 43 42 22 11 6 9 17 46 4 26 13 23 12 19 2 25 16 18 7 3,28 30 5 27 36 48 29 44 15 10 37 32 47 33 31 35 45 34 20 8 38 40 42 39 24 41 1 21 0 14 11 46 43 22 6 4 9 17 26 13 23 12 19 2 25 16 18 7 3;441753,441746,441723,441716,441635;20000
2;MS-MA-EDM;5;exiobase/rxr/rxr_2013_n49;49;50946672;952;28 30 5 27 36 48 29 44 10 47 31 15 37 33 32 35 45 34 20 8 38 40 42 39 24 41 1 21 0 14 11 46 43 22 6 4 9 17 26 13 23 12 19 2 25 16 18 7 3,28 30 5 27 36 48 29 44 10 47 31 15 37 33 32 35 45 34 20 8 38 40 39 24 41 1 21 0 14 43 42 22 11 6 9 17 46 4 26 13 23 12 19 2 25 16 18 7 3,28 30 5 27 36 48 29 44 15 10 31 37 32 35 45 34 47 33 20 8 38 40 42 39 24 41 1 21 0 14 11 46 43 22 6 4 9 17 26 13 23 12 19 2 25 16 18 7 3,28 30 5 27 36 48 29 44 15 10 31 37 32 35 45 34 47 33 20 8 38 40 39 24 41 1 21 0 14 43 42 22 11 6 9 17 46 4 26 13 23 12 19 2 25 16 18 7 3,28 30 5 27 36 48 29 44 15 10 37 32 47 33 31 35 45 34 20 8 38 40 42 39 24 41 1 21 0 14 11 46 43 22 6 4 9 17 26 13 23 12 19 2 25 16 18 7 3;441753,441746,441723,441716,441635;20000
